"sequence","AccelerometerX","AccelerometerY","AccelerometerZ","GyroscopeX","GyroscopeY","GyroscopeZ"
99,53,-1009,1,-7,11,2
100,20,-1013,90,-6,16,17
101,50,-956,-35,-4,38,35
102,-127,-946,-9,-9,13,32
103,-51,-987,84,-10,19,-2
104,241,-907,32,-8,-45,-4
105,-160,-1065,36,-14,19,29
106,-116,-931,80,-12,18,17
107,206,-1005,38,-11,10,12
108,110,-995,4,-16,37,38
109,-334,-951,27,-10,23,32
110,-19,-1023,15,-11,15,1
111,242,-950,20,-13,-14,21
112,-129,-981,43,-18,18,40
113,46,-959,37,-14,21,17
114,0,-992,31,-10,13,25
115,-11,-964,46,-10,6,26
116,-19,-1011,15,-10,9,29
117,18,-982,-6,-7,9,23
118,-224,-954,62,-12,12,19
119,171,-970,-32,-14,13,2
120,68,-993,43,-5,84,32
121,-346,-937,91,-11,19,45
122,214,-953,-22,-8,9,-2
123,-102,-962,120,-7,12,17
124,132,-1018,-55,-8,36,11
125,-114,-985,22,-10,12,35
126,-18,-922,73,-11,18,13
127,150,-995,-19,-15,68,13
128,-79,-1018,33,-12,26,28
129,-135,-918,66,-13,0,17
130,124,-977,29,-8,6,21
131,49,-980,37,-19,40,36
132,-153,-924,39,-10,29,29
133,30,-1063,35,-15,7,6
134,62,-957,-34,-9,30,31
135,-116,-977,67,-13,37,40
136,47,-988,13,-10,12,20
137,-36,-992,40,-13,12,15
138,121,-956,50,-7,8,13
139,-18,-999,18,-11,31,37
140,-86,-945,37,-8,17,35
141,-283,-989,41,-10,12,23
142,144,-1086,-55,-21,14,-5
143,231,-803,86,-26,74,25
144,-361,-997,77,-19,12,23
145,145,-977,-20,-9,8,13
146,-62,-1035,85,-7,8,27
147,78,-948,-21,-8,33,15
148,-47,-998,50,-10,14,14
149,89,-957,-27,-10,10,10
150,-3,-933,58,-8,56,36
151,-239,-1003,33,-10,-6,31
152,174,-959,100,-8,10,1
153,-86,-1030,-25,-7,13,25
154,157,-940,34,-9,-5,25
155,-265,-953,43,-10,20,43
156,170,-1019,-17,-15,23,19
157,-123,-969,3,5,30,36
158,-52,-1000,66,-15,1,7
159,115,-970,12,-13,16,2
160,36,-990,27,-10,19,27
161,60,-936,64,-14,7,33
162,-148,-1004,18,-11,18,42
163,-195,-1043,15,-15,12,15
164,80,-906,18,-10,-14,-1
165,51,-971,0,-33,-93,6
166,-206,-927,70,-22,20,20
167,136,-980,36,-10,11,-1
168,104,-1056,9,-8,12,27
169,8,-960,37,-22,-56,29
170,-72,-945,8,-12,8,25
171,-17,-1000,-1,-13,12,9
172,28,-903,66,-25,10,20
173,-144,-973,31,-13,-1,25
174,157,-950,70,-8,6,10
175,88,-995,-5,-12,13,32
176,-46,-919,46,-14,35,40
177,-187,-974,24,-10,9,26
178,85,-999,4,-9,9,15
179,0,-1005,41,-10,-2,31
180,-19,-990,20,-10,5,22
181,-28,-966,42,-11,16,12
182,59,-992,45,-11,8,9
183,-102,-1010,74,-8,11,24
184,161,-890,-12,7,2,36
185,-215,-971,29,-15,10,29
186,90,-963,38,-9,27,3
187,25,-1016,27,1,114,26
188,-251,-973,64,-3,7,28
189,-1,-972,71,-12,16,-5
190,234,-1012,1,-13,13,-3
191,102,-946,36,-2,-62,27
192,-181,-965,3,-9,-17,47
193,31,-929,3,-7,10,20
194,76,-788,87,-16,-18,13
195,-285,-1001,11,-18,-3,24
196,222,-959,54,-6,8,4
197,-85,-986,34,-12,19,37
198,36,-938,42,-12,16,25
199,7,-976,2,-10,27,38
200,-142,-1039,19,-13,12,28
201,25,-924,49,-8,5,16
202,-3,-1077,-17,-16,51,28
203,28,-858,65,-18,41,25
204,-174,-994,44,-15,20,10
205,150,-1024,13,-6,16,10
206,-47,-988,36,-5,4,32
207,30,-947,9,-2,-3,28
208,-253,-995,3,-14,15,15
209,195,-944,13,-9,20,-7
210,48,-987,69,-31,29,24
211,-152,-993,62,-10,-3,33
212,1,-938,6,-9,12,9
213,206,-1007,41,-11,28,9
214,-77,-986,-7,-5,6,33
215,-211,-949,20,-13,11,29
216,151,-1032,10,-12,3,16
217,8,-949,57,-4,-13,32
218,-119,-956,19,-13,14,19
219,82,-990,20,-12,9,17
220,-45,-996,42,-9,11,27
221,41,-991,-17,-13,11,27
222,-47,-1001,50,-10,9,28
223,-69,-949,38,-8,10,26
224,-105,-939,12,-15,4,6
225,159,-1062,-43,-22,-5,14
226,-80,-819,135,-28,28,44
227,-129,-978,15,-13,-1,8
228,49,-1050,34,-6,15,15
229,-64,-960,40,-15,37,16
230,115,-963,-7,-5,23,17
231,-48,-1007,16,-12,16,17
232,51,-928,43,-20,-35,6
233,13,-1040,16,-25,-18,32
234,-146,-926,45,-10,-3,29
235,76,-972,63,-15,3,5
236,-52,-1031,17,-10,6,12
237,154,-868,59,-12,-5,21
238,-168,-1007,11,-8,7,33
239,163,-1014,-11,-13,20,30
240,-164,-964,70,-19,8,40
241,24,-985,28,-11,17,15
242,-62,-997,5,-14,16,12
243,56,-982,56,-8,12,14
244,109,-979,31,-10,4,31
245,-86,-981,28,-8,11,36
246,-102,-976,25,-12,11,24
247,0,-979,71,-14,19,5
248,309,-913,-45,-10,-10,7
249,-414,-1037,121,-9,50,41
250,8,-921,26,-16,3,12
251,68,-1072,10,-7,11,9
252,-9,-942,73,-6,5,5
253,100,-986,-31,-11,4,12
254,-43,-986,13,-8,23,31
255,89,-920,59,-12,-15,29
256,-103,-934,26,-25,-4,41
257,-210,-1011,63,-8,4,2
258,270,-947,44,-9,12,-6
259,-13,-1025,6,-11,31,36
260,-6,-972,-13,-10,34,46
261,-198,-928,90,-8,11,39
262,243,-1017,-56,-8,10,9
263,-248,-1003,67,-32,4,21
264,82,-971,39,-11,14,13
265,38,-992,35,-13,10,26
266,-19,-978,24,-10,8,31
267,33,-972,23,-16,24,25
268,-88,-976,57,-13,26,20
269,-143,-986,-7,-8,7,17
270,198,-821,4,-5,50,9
271,-25,-1023,54,24,-5,30
272,-343,-956,98,-16,11,28
273,221,-1002,-50,-8,6,-13
274,115,-1025,79,-12,21,14
275,-122,-946,-1,-24,67,39
276,-94,-979,33,-9,13,26
277,183,-961,-25,-5,-6,14
278,-11,-886,73,-4,22,28
279,-224,-1032,36,-11,-7,18
280,285,-966,71,-9,8,7
281,-232,-995,17,-10,15,49
282,132,-954,-6,-17,9,28
283,-220,-1009,20,-3,14,34
284,53,-994,6,-17,11,3
285,43,-1043,29,-1,-8,13
286,-39,-882,93,-18,-1,32
287,-62,-933,19,-18,20,19
288,67,-1002,29,-7,17,20
289,8,-1032,8,-14,36,23
290,-36,-921,72,-14,30,31
291,-217,-975,-25,-14,9,14
292,221,-931,16,0,23,-4
293,-68,-1027,90,2,-53,25
294,-215,-962,31,-15,6,24
295,163,-975,8,-11,18,-11
296,260,-1009,65,-7,9,13
297,-170,-957,-12,-9,-22,50
298,-263,-972,34,-14,13,35
299,199,-1007,-24,-7,19,8
300,-124,-824,36,-19,14,23
301,13,-921,96,-15,17,-3
302,226,-984,29,-10,15,28
303,-253,-954,24,-10,6,46
304,199,-1022,-50,-9,1,33
305,-297,-990,83,-10,20,36
306,115,-900,10,-12,15,-5
307,27,-1062,27,-15,54,17
308,39,-920,58,4,52,30
309,-165,-955,48,-11,17,37
310,86,-1033,-16,-10,11,13
311,73,-932,100,-14,9,11
312,-53,-966,4,-16,18,22
313,-178,-1007,-16,-11,18,25
314,55,-875,11,-4,16,10
315,48,-883,50,-12,56,28
316,-74,-1035,46,-14,19,5
317,-1,-963,76,-10,17,-3
318,141,-989,16,-11,18,21
319,82,-979,14,-15,22,50
320,-259,-972,24,-9,12,43
321,-53,-1020,-14,-15,8,4
322,167,-937,89,-8,-35,8
323,-152,-943,26,-8,-14,22
324,102,-974,42,-15,14,16
325,45,-1011,14,-11,12,38
326,48,-964,42,-14,16,32
327,-52,-983,33,-7,26,27
328,-35,-983,18,-8,17,22
329,-257,-939,66,-14,11,18
330,132,-1031,-44,-11,-26,6
331,206,-914,63,-29,-34,28
332,-382,-923,92,-22,16,19
333,279,-1010,-15,-6,13,7
334,-226,-1021,90,-9,7,30
335,89,-919,-14,-3,-40,9
336,6,-1032,23,-11,18,18
337,12,-926,37,-13,1,11
338,8,-1017,27,-32,-67,17
339,-110,-1019,10,-16,-4,29
340,41,-878,96,-12,8,6
341,45,-987,8,-13,18,17
342,128,-981,82,-12,9,26
343,-229,-989,-30,-7,12,38
344,130,-954,-32,-13,13,24
345,-21,-985,69,-9,-13,30
346,-153,-983,45,-15,-3,16
347,81,-992,-5,-10,14,11
348,-9,-994,56,-11,13,19
349,93,-951,39,-13,15,24
350,-61,-1022,-14,-12,28,39
351,-94,-924,77,-9,9,25
352,-170,-979,9,-9,14,11
353,217,-1013,-65,-25,-43,10
354,-226,-911,110,-30,21,34
355,-76,-966,46,-17,11,-4
356,210,-1052,5,-5,9,12
357,-55,-973,60,-19,16,26
358,32,-953,-32,-20,18,24
359,-7,-1022,16,-8,20,20
360,68,-904,34,-21,-12,17
361,-161,-895,31,-28,30,42
362,-160,-1032,31,-8,8,8
363,224,-953,92,-10,16,0
364,29,-1077,-20,-7,7,28
365,25,-871,22,-12,7,45
366,-296,-972,50,-11,10,35
367,260,-1029,-54,-12,-3,10
368,-213,-971,95,-21,11,33
369,37,-971,30,-13,11,8
370,94,-1003,14,-11,13,14
371,-20,-932,64,-10,5,24
372,89,-1016,-29,-4,-18,27
373,-130,-995,86,-9,13,39
374,-188,-943,27,-12,13,12
375,183,-952,-11,-12,19,-1
376,46,-984,73,15,9,23
377,-291,-954,99,-15,16,25
378,154,-1037,-39,-12,10,0
379,40,-1015,46,-8,28,12
380,61,-930,39,-11,73,27
381,-107,-985,13,-12,20,33
382,-30,-1004,13,-9,19,19
383,69,-909,70,-19,67,30
384,-121,-999,34,-10,18,29
385,105,-918,49,-10,8,6
386,23,-975,47,-10,7,33
387,-36,-986,14,-15,1,27
388,-47,-966,18,-2,11,25
389,-23,-1039,-27,-14,16,27
390,-1,-937,60,-10,48,23
391,51,-960,71,5,33,23
392,-120,-965,19,-17,13,25
393,77,-966,26,-8,14,11
394,40,-972,64,-12,19,19
395,-8,-995,-6,-18,21,24
396,-206,-1036,-8,-11,11,30
397,-30,-914,11,-4,21,13
398,162,-884,83,-20,-25,10
399,-215,-1002,69,-19,23,13
400,67,-979,16,-12,16,-2
401,185,-1003,20,-5,17,26
402,-30,-973,-13,-13,48,50
403,-195,-942,28,-8,12,23
404,85,-981,0,-10,25,-5
405,125,-934,82,-11,58,25
406,-245,-939,43,-11,-4,39
407,335,-949,38,-10,4,22
408,-305,-1019,0,-12,16,41
409,152,-914,15,-11,9,6
410,-135,-1032,51,-4,8,26
411,-26,-987,15,-14,6,19
412,85,-976,-12,-8,-3,28
413,27,-961,16,-12,-52,24
414,-192,-927,121,-18,17,12
415,129,-989,12,-7,8,-1
416,-125,-1077,60,-7,-3,27
417,139,-873,-35,3,-17,37
418,-201,-998,23,-16,14,25
419,7,-986,26,-12,-1,-12
420,183,-962,63,-17,43,12
421,-187,-1042,13,-8,-4,33
422,9,-906,81,-6,20,16
423,147,-988,37,-9,17,19
424,21,-1008,-5,-19,20,28
425,-241,-941,16,-10,14,27
426,14,-981,7,-13,9,8
427,212,-1005,66,-16,-8,22
428,-158,-944,26,-15,20,42
429,30,-971,35,-12,12,22
430,-14,-1001,25,-12,21,21
431,46,-979,44,-11,18,22
432,-71,-1006,14,-9,23,30
433,7,-976,-7,-11,21,26
434,-204,-959,68,-10,9,23
435,176,-947,-13,-14,3,5
436,26,-1024,14,-5,90,29
437,-302,-948,100,-11,6,39
438,195,-930,-11,-10,14,0
439,-100,-974,110,-9,18,19
440,68,-989,-39,-22,27,9
441,0,-1010,21,-15,22,25
442,-54,-940,33,-10,5,20
443,98,-956,2,-7,-34,6
444,-51,-1041,54,-21,-24,18
445,-54,-905,58,-11,14,19
446,25,-976,17,-9,15,28
447,29,-1029,1,-16,32,31
448,-90,-909,42,-11,19,29
449,28,-995,65,-17,19,9
450,103,-998,-51,-9,-3,23
451,-136,-954,47,-21,2,41
452,5,-978,46,-13,3,22
453,13,-1005,42,-9,1,12
454,117,-939,64,-9,5,15
455,-71,-1013,6,-12,0,33
456,-37,-965,19,-11,17,30
457,-176,-982,19,-11,11,20
458,75,-1017,-28,-14,-1,-1
459,245,-882,94,-18,61,27
460,-419,-969,90,-17,5,26
461,195,-1005,-37,-11,11,9
462,-92,-1025,89,-14,26,26
463,78,-930,7,-3,13,9
464,2,-1006,29,-11,12,14
465,-38,-996,-32,-10,0,19
466,116,-930,96,0,-44,26
467,-204,-951,41,-14,12,30
468,74,-920,71,-12,6,2
469,38,-1050,26,-8,1,21
470,70,-963,-24,-16,27,35
471,-218,-916,56,-10,16,42
472,149,-1010,15,-12,18,17
473,-114,-1026,12,-10,-11,26
474,-18,-947,61,-15,14,10
475,77,-983,47,-11,16,11
476,23,-986,15,-9,15,28
477,57,-934,65,-9,2,26
478,-80,-1001,35,-5,7,32
479,-71,-936,-9,-13,11,23
480,-76,-1008,25,-10,-1,-2
481,54,-1054,40,-38,-62,10
482,-178,-898,44,-20,19,27
483,21,-977,35,-13,7,-3
484,132,-1034,-6,-8,13,10
485,77,-931,69,-3,46,33
486,-69,-995,-25,-8,9,40
487,-151,-967,58,-8,12,23
488,67,-960,-15,-10,-5,11
489,-90,-960,59,-16,26,16
490,87,-952,83,-12,14,0
491,169,-967,-12,-12,11,41
492,-170,-1020,21,-15,-18,47
493,-69,-908,-1,-7,14,32
494,-58,-1014,60,-16,15,8
495,165,-1002,-14,-11,9,6
496,-70,-982,23,-20,-14,28
497,-47,-944,41,-13,19,26
498,32,-973,75,-7,9,17
499,-18,-979,50,-10,11,14
500,98,-1030,-48,0,-41,17
501,-168,-955,68,-13,9,38
502,-194,-941,5,-11,9,15
503,247,-989,-19,-38,8,6
504,-104,-946,92,-25,43,19
505,-95,-981,86,-14,9,4
506,142,-1020,-34,-7,17,14
507,184,-993,65,-16,20,38
508,-182,-933,-10,-11,-8,42
509,-155,-1004,23,-14,16,11
510,186,-965,19,-7,-23,7
511,-212,-902,61,-30,-10,37
512,149,-946,37,-14,20,8
513,33,-961,43,-13,15,28
514,4,-966,46,-10,13,25
515,-30,-1025,-26,-10,16,37
516,-129,-965,54,-12,14,34
517,0,-940,3,-14,13,14
518,66,-970,49,-16,2,13
519,80,-984,62,-27,2,19
520,-302,-999,49,-14,0,28
521,226,-1017,-36,-6,13,5
522,-43,-952,115,-8,45,27
523,21,-968,-3,-11,55,21
524,-201,-1013,3,-9,16,26
525,65,-971,-9,-8,25,8
526,143,-935,102,-3,145,29
527,-156,-992,32,-8,6,21
528,-42,-979,57,-14,20,0
529,193,-983,28,-11,12,11
530,48,-982,-16,-10,10,45
531,-244,-921,40,-10,7,40
532,71,-1004,-2,-12,11,8
533,84,-1021,64,-12,44,19
534,-105,-940,36,-5,30,29
535,17,-992,18,-13,15,27
536,8,-1008,28,-8,16,27
537,19,-970,68,-14,20,22
538,42,-998,-22,-11,11,23
539,-89,-969,39,-13,16,29
540,-219,-977,26,-13,10,19
541,301,-887,17,-18,39,14
542,-58,-1054,70,-5,87,40
543,-259,-951,56,-16,9,23
544,115,-1044,-22,-12,9,1
545,-56,-946,82,-13,-3,8
546,142,-980,0,-16,-20,12
547,-91,-1034,3,-11,5,30
548,38,-903,8,-7,5,19
549,86,-938,48,8,32,29
550,-232,-1005,25,-8,-11,26
551,-47,-946,84,-12,21,-5
552,209,-968,44,-12,12,11
553,38,-986,22,-12,16,38
554,-79,-971,0,-9,13,40
555,-6,-990,-25,-12,5,29
556,-62,-973,56,-17,37,20
557,-17,-995,47,-13,21,18
558,-58,-1010,16,-11,0,19
559,75,-972,38,-10,7,14
560,67,-994,48,-13,15,24
561,-47,-983,1,-8,-4,29
562,-57,-904,61,-9,14,28
563,-194,-1028,20,-11,7,13
564,161,-1024,-33,6,-25,6
565,-33,-940,108,-6,-64,31
566,-197,-946,26,-15,5,6
567,208,-985,2,-10,22,-11
568,-11,-1026,73,-14,41,28
569,34,-958,-4,-12,55,40
570,-144,-1004,-5,-10,15,28
571,178,-849,60,-11,-9,6
572,-90,-1021,39,-24,32,22
573,-166,-984,38,-9,5,18
574,236,-964,48,-9,12,23
575,-110,-956,29,-13,23,36
576,107,-1026,-17,-10,9,24
577,-316,-929,67,-6,17,24
578,365,-990,-49,-13,-7,4
579,-261,-1033,39,-25,31,46
580,-1,-937,69,-10,11,22
581,102,-995,34,-10,9,17
582,-126,-1003,38,-9,13,17
583,168,-952,-4,-7,-4,11
584,-171,-1027,70,-8,1,37
585,-47,-887,-13,-10,12,20
586,144,-957,16,-4,32,13
587,-93,-976,53,25,11,24
588,-272,-963,91,-17,18,12
589,235,-1001,-20,-10,10,-10
590,136,-1016,72,-14,32,26
591,-108,-950,-9,-29,76,49
592,-175,-983,36,-10,13,26
593,202,-1001,-5,-5,13,4
594,0,-858,34,-14,1,24
595,-222,-983,64,-14,9,23
596,360,-945,46,-10,9,13
597,-298,-1004,26,-8,6,52
598,156,-963,3,-10,22,19
599,-185,-986,39,-6,12,30
600,42,-1002,5,-16,7,6
601,86,-981,50,0,44,20
602,-57,-903,42,-4,23,41
603,-134,-994,31,-15,16,16
604,76,-983,30,-7,19,12
605,33,-1034,57,-5,-12,16
606,-19,-885,44,1,-29,31
607,-253,-997,-15,-15,11,18
608,114,-914,-6,-13,-5,1
609,148,-936,108,-10,-54,8
610,-209,-1025,19,-17,16,21
611,78,-989,52,-12,13,7
612,176,-972,31,-11,4,22
613,-22,-963,-9,-23,16,36
614,-235,-978,44,-7,16,24
615,50,-975,64,-10,15,4
616,90,-952,-26,-19,8,29
617,-98,-1006,93,-13,25,29
618,152,-960,21,-13,12,17
619,-122,-994,31,-13,12,32
620,153,-952,0,-9,11,25
621,-188,-1019,65,-10,26,41
622,10,-986,-19,-8,8,22
623,-141,-975,51,-10,13,11
624,103,-1017,-16,-16,8,5
625,5,-830,74,-27,43,40
626,-225,-972,69,-10,14,16
627,248,-989,-3,-5,11,15
628,-142,-1034,49,-18,13,31
629,30,-926,-17,-14,4,18
630,-146,-977,35,-15,14,9
631,111,-1017,0,-29,17,-1
632,67,-962,88,-24,88,32
633,-125,-991,6,-10,7,31
634,24,-932,46,-12,10,11
635,144,-1032,7,-12,11,18
636,-70,-974,23,-16,-4,34
637,-185,-928,33,-8,10,24
638,137,-1034,14,-14,16,18
639,-30,-966,11,-6,-33,29
640,-81,-962,60,-13,18,19
641,64,-999,15,-13,13,11
642,41,-982,35,-7,8,28
643,-45,-973,31,-13,5,35
644,33,-993,1,-10,19,30
645,-141,-941,76,-8,10,23
646,-13,-976,-16,-11,5,3
647,0,-1082,5,0,17,16
648,4,-886,80,-4,-4,37
649,-145,-945,33,-15,1,10
650,152,-987,17,-6,8,4
651,-75,-1011,79,-6,18,21
652,85,-961,-36,-1,2,21
653,-67,-993,26,-12,14,25
654,56,-930,47,-15,1,10
655,12,-999,24,-17,-23,19
656,-183,-958,30,-14,9,23
657,172,-946,101,-13,17,9
658,-35,-1044,-20,-10,24,32
659,60,-881,103,-12,24,32
660,-130,-981,-22,-6,5,27
661,108,-1005,-12,-14,15,27
662,-142,-984,65,-16,23,32
663,15,-987,10,-12,2,14
664,-26,-1003,48,-10,16,13
665,84,-960,35,-8,16,16
666,2,-1026,56,-13,14,33
667,-70,-944,37,-4,-6,34
668,-19,-892,21,-11,14,21
669,-45,-1042,13,-14,12,5
670,99,-1036,14,-26,-53,14
671,-329,-914,51,-18,32,33
672,163,-966,31,-11,3,-11
673,79,-1030,26,-5,10,6
674,36,-935,76,-17,45,28
675,31,-985,-26,-12,7,40
676,-120,-993,29,-10,11,32
677,43,-927,0,-4,-8,16
678,-153,-999,84,-11,18,12
679,25,-956,19,-12,10,-5
680,205,-954,71,-11,6,26
681,45,-1013,-7,-16,7,54
682,-255,-931,3,-17,21,45
683,20,-949,75,-12,18,9
684,66,-1036,-22,-8,17,11
685,-109,-980,40,-19,-88,13
686,112,-974,31,-16,18,22
687,-58,-985,45,-11,13,27
688,-3,-977,14,-10,11,15
689,125,-962,53,-5,-10,19
690,-179,-1005,19,-7,-8,32
691,-33,-827,39,-8,2,13
692,92,-1082,-19,-30,8,10
693,-120,-966,106,-24,56,34
694,-202,-956,34,-13,11,4
695,218,-1013,-33,-11,14,-18
696,226,-982,90,-5,-9,28
697,-219,-972,-16,-8,-16,62
698,-164,-959,39,-10,14,23
699,251,-989,3,-4,-11,-5
700,-216,-816,21,-11,-15,25
701,-10,-962,90,-18,5,6
702,197,-962,54,-12,15,32
703,-216,-942,14,-8,6,40
704,248,-1023,-23,-14,1,19
705,-304,-990,82,-5,14,32
706,214,-870,-7,-12,10,3
707,-44,-1034,3,-10,11,27
708,-45,-997,100,-9,-33,25
709,-143,-980,29,-12,6,26
710,38,-1025,-13,-9,23,2
711,122,-946,63,-6,15,8
712,-21,-928,19,-7,-6,29
713,-257,-1034,0,-11,13,34
714,80,-864,36,-10,8,7
715,81,-1034,57,-20,60,18
716,-155,-1019,70,-16,17,8
717,48,-966,18,-13,12,8
718,105,-971,27,-8,9,25
719,12,-967,-11,-13,2,37
720,-182,-991,30,-7,8,27
721,61,-959,53,-11,22,5
722,38,-963,-7,-6,-31,24
723,-81,-1021,49,-16,7,29
724,73,-946,38,-15,14,22
725,-38,-1012,37,-8,8,30
726,23,-1000,0,-10,10,21
727,-45,-959,57,-6,7,22
728,43,-993,-5,-9,10,27
729,-188,-957,33,-14,13,20
730,114,-976,20,-8,-10,8
731,-109,-892,60,-8,-8,39
732,-70,-936,41,-12,-4,1
733,87,-990,14,-2,3,9
734,-46,-1042,96,-10,24,18
735,58,-921,-24,-4,13,26
736,-74,-1023,14,-13,9,21
737,71,-958,-29,-11,13,3
738,57,-958,111,-21,70,30
739,-193,-971,15,-11,1,26
740,98,-928,92,-9,13,13
741,-11,-1028,12,-14,13,27
742,66,-965,19,-22,76,18
743,-32,-938,35,-6,17,26
744,11,-1022,-44,-16,8,32
745,-31,-943,87,-14,36,36
746,-94,-1022,52,-11,37,29
747,11,-968,-8,-10,5,12
748,59,-996,58,-10,6,11
749,46,-1004,28,-15,11,21
750,-49,-956,34,-14,14,34
751,-14,-938,34,-10,12,31
752,-180,-1005,30,-12,11,15
753,86,-1048,-28,0,-8,4
754,-62,-938,61,-15,-23,33
755,-102,-917,58,-14,4,1
756,155,-975,28,-7,13,6
757,-75,-1039,85,-8,-12,24
758,118,-935,-32,-5,-6,22
759,-83,-1016,10,-11,10,26
760,38,-929,39,-6,-7,7
761,-2,-1023,26,-13,43,32
762,-195,-960,20,-10,11,30
763,207,-906,80,-12,18,9
764,-31,-994,26,-7,3,29
765,54,-1001,15,-14,0,23
766,-246,-954,8,-5,12,31
767,286,-1028,-22,-17,1,15
768,-271,-977,61,-15,36,42
769,40,-957,57,-15,13,9
770,69,-997,17,-8,13,14
771,42,-929,58,-9,7,21
772,-11,-1014,-39,-17,15,30
773,-145,-1023,54,-12,20,34
774,6,-883,7,-11,10,9
775,68,-1033,6,0,27,8
776,-43,-950,80,19,-13,26
777,-245,-942,55,-15,13,19
778,196,-1010,-24,-10,13,-7
779,73,-1015,80,-5,16,18
780,-13,-956,-5,-5,-9,33
781,-185,-1010,11,-10,3,31
782,74,-915,33,0,10,8
783,96,-950,31,3,-28,16
784,-216,-1012,62,-17,17,23
785,289,-918,56,-13,9,11
786,-190,-1026,4,-7,1,46
787,74,-917,-7,-8,-4,33
788,-223,-992,73,-7,14,22
789,159,-1025,-21,-12,5,-1
790,-2,-983,37,-14,2,28
791,2,-926,57,-7,15,30
792,-88,-986,31,-10,0,24
793,28,-984,48,-8,6,11
794,20,-1064,43,-14,19,16
795,1,-924,23,-7,30,39
796,-292,-950,-2,-16,15,23
797,145,-905,-6,-13,42,5
798,221,-899,80,3,95,17
799,-272,-1008,80,-16,10,19
800,36,-1009,0,-12,15,11
801,231,-984,57,-9,14,20
802,17,-936,-6,-28,1,37
803,-281,-995,27,-9,12,27
804,76,-963,60,-13,0,0
805,46,-811,20,-30,-16,26
806,-145,-1028,59,-14,17,24
807,330,-949,32,-15,24,19
808,-315,-1017,13,-10,12,42
809,241,-958,-2,-16,9,17
