sequence,Price,Return,Volume,Volatility,BidAskSpread,OrderFlowImbalance
141,98.83,-0.0815,947,14.138,3.65,5.01
142,98.84,-0.0285,924,13.548,3.725,2.32
143,98.74,-0.1164,902,13.712,4.393,8.32
144,98.66,-0.0451,937,13.328,3.742,8.6
145,98.48,-0.1609,917,13.775,4.662,8.37
146,98.67,0.2223,962,12.147,4.764,12.14
147,98.66,0.0396,911,11.781,4.513,6.14
148,98.81,0.0399,925,11.485,5.222,10.41
149,98.82,0.03,932,12.064,4.367,13.36
150,98.72,-0.0992,914,12.227,4.563,9.76
151,98.68,-0.0489,909,12.69,4.389,12.28
152,98.6,-0.143,888,11.057,3.758,12.0
153,98.6,0.0294,896,11.923,3.309,13.74
154,98.55,-0.001,850,11.602,3.491,10.23
155,98.5,0.0031,866,12.802,3.357,18.11
156,98.29,-0.2133,816,12.338,2.752,8.33
157,98.16,-0.0944,828,13.109,3.325,12.4
158,98.41,0.2868,787,12.584,3.167,9.76
159,98.3,-0.0205,789,13.369,2.935,14.05
160,98.13,-0.1079,789,13.284,3.803,6.04
161,98.17,0.0475,785,13.059,3.803,6.24
162,98.37,0.2043,710,14.078,3.93,9.79
163,98.14,-0.2229,714,13.695,4.323,3.89
164,98.1,-0.0347,695,12.941,4.346,4.23
165,97.98,-0.1342,723,14.141,3.909,3.67
166,97.7,-0.2445,667,13.698,3.774,5.03
167,97.79,0.0586,685,14.606,3.848,4.44
168,97.77,-0.0618,648,15.092,3.546,-3.96
169,97.76,0.0062,618,14.424,3.52,0.55
170,97.62,-0.163,638,14.428,2.691,3.83
171,97.67,0.0325,604,13.381,2.555,1.64
172,97.56,-0.2054,633,13.373,2.184,-1.86
173,97.51,-0.0102,628,13.208,3.061,-8.51
174,97.32,-0.1944,632,14.157,2.69,-2.81
175,97.11,-0.2176,582,12.674,2.995,-8.68
176,97.28,0.1922,630,12.684,3.533,-6.78
177,97.17,-0.0974,617,11.32,3.653,-6.67
178,97.18,-0.022,563,11.65,3.442,-9.03
179,97.14,0.0572,643,11.659,3.735,-6.58
180,97.04,-0.1221,635,11.264,4.226,-9.01
181,96.93,-0.065,586,10.963,3.903,-10.33
182,96.99,0.1457,618,11.139,3.467,-11.42
183,96.91,-0.1119,592,11.038,3.278,-10.49
184,96.84,-0.056,623,10.139,3.355,-11.46
185,96.81,-0.0741,638,10.064,2.352,-12.35
186,96.95,0.1875,656,11.034,2.402,-5.5
187,97.01,0.0465,638,11.254,2.608,-3.7
188,97.03,-0.0353,664,10.335,2.517,-7.04
189,96.9,-0.0623,658,11.518,1.945,-10.27
190,96.65,-0.2045,695,10.719,2.394,-7.58
191,96.75,0.0587,713,11.56,2.796,-5.32
192,96.86,0.1598,713,12.516,3.07,-7.43
193,96.79,-0.0536,747,11.339,3.228,-3.82
194,96.83,0.1688,751,12.374,3.387,-1.79
195,96.91,0.1569,755,12.485,3.655,-5.78
196,96.99,0.0561,782,12.217,3.847,-6.1
197,97.09,0.0832,745,13.29,3.754,1.59
198,96.98,-0.1522,778,12.548,4.083,0.89
199,97.16,0.1917,753,12.721,3.441,2.63
200,96.93,-0.2264,796,12.49,3.257,-0.81
201,97.02,0.123,794,13.171,2.921,-0.39
202,97.05,0.0371,825,13.1,2.395,6.47
203,97.14,0.0201,805,13.309,2.586,3.35
204,97.38,0.2029,804,12.288,2.109,4.14
205,97.57,0.2503,817,11.726,2.675,3.41
206,97.36,-0.1559,817,12.561,2.745,-1.87
207,97.06,-0.2997,829,11.195,2.67,0.2
208,97.15,0.078,799,11.493,3.399,-7.55
209,96.96,-0.1977,783,11.614,3.342,1.86
210,96.92,-0.0374,776,10.88,3.997,-9.14
211,97.01,0.01,823,9.287,3.642,-2.46
212,96.73,-0.2389,768,9.393,4.096,-6.13
213,96.38,-0.3821,774,9.286,4.397,-3.02
214,96.38,0.0126,751,9.898,3.678,-5.34
215,96.36,-0.1464,778,8.968,3.022,-8.23
216,96.29,-0.0572,736,9.653,3.092,-9.95
217,96.26,0.0391,757,9.362,3.202,-10.4
218,96.11,-0.2653,704,9.371,2.793,-11.15
219,95.85,-0.183,708,9.37,2.197,-12.74
220,95.8,-0.0299,700,9.147,2.484,-12.12
221,95.63,-0.2072,687,10.371,2.593,-11.92
222,95.35,-0.3476,627,9.968,2.338,-19.02
223,95.4,0.1071,625,10.882,3.099,-13.27
224,95.37,-0.02,613,9.933,3.526,-21.73
225,95.41,0.0672,560,9.789,3.774,-16.73
226,95.24,-0.1824,593,11.549,4.066,-22.02
227,95.12,-0.1567,569,10.49,4.809,-14.15
228,94.95,-0.1272,554,11.3,4.088,-19.14
229,94.8,-0.1964,499,11.196,4.325,-17.74
230,94.82,0.0556,514,11.393,4.699,-14.13
231,94.68,-0.2129,504,11.342,4.185,-16.59
232,94.72,-0.0054,501,10.942,3.457,-14.88
233,94.76,-0.032,457,10.813,3.738,-23.21
234,95.05,0.3538,469,11.375,2.644,-20.69
235,94.83,-0.3041,483,10.73,3.108,-17.56
236,94.95,0.0681,426,11.697,3.408,-18.56
237,94.93,0.0084,418,10.608,2.941,-18.14
238,94.92,0.0,412,10.952,3.769,-17.31
239,94.69,-0.1207,383,9.694,3.888,-18.13
240,94.62,0.0118,401,9.982,4.21,-9.73
241,94.72,0.1347,438,8.951,5.352,-9.84
242,94.7,0.015,386,8.449,5.114,-12.24
243,94.71,-0.0799,400,8.487,5.139,-7.92
244,94.66,-0.0899,429,8.232,4.699,-13.88
245,94.83,0.1539,419,9.379,4.724,-0.49
246,94.83,-0.0147,416,7.249,4.941,-10.66
247,94.49,-0.3983,410,7.45,4.869,-5.08
248,94.39,-0.1503,421,8.049,4.782,-10.19
249,94.09,-0.3374,431,7.596,4.045,-6.83
250,93.6,-0.4381,452,7.785,3.986,-4.93
251,93.52,-0.06,449,8.188,4.152,-4.12
252,93.72,0.1836,476,7.874,3.534,-9.92
253,93.73,-0.0065,431,7.768,4.069,-8.68
254,93.55,-0.1621,494,7.661,4.607,-9.32
255,93.41,-0.1745,478,8.534,4.517,-3.96
256,93.58,0.157,500,9.083,5.044,-10.29
257,93.6,-0.0587,510,9.162,5.373,-12.86
258,93.61,0.0392,549,9.873,5.788,-16.4
259,93.6,0.0378,552,9.3,6.004,-19.33
260,93.61,0.0227,584,9.825,5.935,-18.17
261,93.73,0.1431,573,9.413,5.852,-12.57
262,93.81,0.0995,609,8.967,5.752,-18.9
263,93.84,0.1288,645,10.246,5.809,-18.05
264,93.68,-0.1483,657,9.711,5.111,-19.9
265,93.76,0.0114,642,10.187,5.521,-22.34
266,93.65,-0.1553,664,9.432,4.141,-22.58
267,93.82,0.1951,665,8.788,4.951,-19.74
268,93.62,-0.1432,680,8.873,5.28,-23.37
269,93.6,0.012,692,8.903,4.914,-21.0
270,93.59,0.0342,722,8.406,5.292,-23.67
271,93.39,-0.1954,716,8.282,5.518,-29.26
272,93.64,0.1807,737,8.358,6.59,-26.64
273,93.85,0.1779,742,7.741,6.397,-23.32
274,93.77,-0.1642,688,7.658,6.868,-21.52
275,93.88,0.0883,719,7.047,6.468,-30.76
276,93.93,-0.0183,703,6.514,6.764,-25.42
277,93.52,-0.3982,677,6.138,6.585,-23.41
278,93.55,0.0177,683,5.355,6.487,-19.74
279,93.53,-0.1152,690,6.609,6.177,-27.17
280,93.53,0.0339,726,6.792,6.146,-23.14
281,93.35,-0.1398,688,5.744,5.571,-28.47
282,93.29,-0.1229,674,5.808,5.868,-21.55
283,93.25,-0.0367,668,5.954,5.526,-21.86
284,93.41,0.1946,644,6.693,5.668,-27.92
285,93.44,0.0172,652,6.761,5.359,-24.37
286,93.42,0.02,636,6.818,5.904,-22.34
287,93.63,0.2171,594,7.151,6.819,-19.58
288,93.53,-0.0542,604,6.606,6.695,-19.18
289,93.44,-0.073,670,7.622,6.945,-17.53
290,93.15,-0.305,605,7.836,7.316,-16.21
291,93.36,0.2342,580,8.392,7.644,-19.86
292,93.47,0.1555,584,7.989,7.765,-19.61
293,93.58,0.1216,542,8.231,7.167,-13.82
294,93.66,0.0498,553,8.701,7.062,-17.51
295,93.64,-0.0514,560,9.973,7.038,-15.02
296,93.65,-0.0166,504,8.342,7.127,-13.28
297,93.58,-0.0973,514,9.587,6.669,-7.45
298,93.51,-0.0536,515,8.002,6.028,-11.66
299,93.49,-0.0176,513,8.315,6.192,-7.51
300,93.68,0.1879,506,7.607,6.14,-9.45
301,93.73,0.0476,519,8.485,5.94,-14.73
302,93.68,-0.037,534,7.584,6.069,-6.99
303,93.56,-0.0489,521,7.304,5.984,-13.71
304,93.43,-0.0754,537,7.391,6.42,-9.32
305,93.63,0.1739,541,7.206,6.887,-12.4
306,93.67,0.0569,514,5.922,7.962,-15.7
307,93.64,-0.0457,538,6.083,7.7,-20.05
308,93.55,-0.0971,533,5.46,8.036,-14.26
309,93.34,-0.2191,562,6.063,7.751,-17.08
310,93.29,-0.0816,553,4.28,7.463,-10.63
311,93.38,0.0236,568,6.292,7.739,-20.32
312,93.28,-0.2196,618,5.04,6.934,-19.62
313,93.2,-0.0669,595,4.129,6.919,-22.33
314,93.13,-0.0189,582,5.354,6.505,-23.76
315,93.1,-0.0701,631,4.912,6.058,-18.79
316,92.82,-0.2576,650,5.505,6.051,-19.8
317,92.74,-0.097,651,5.753,6.446,-27.87
318,92.57,-0.1577,679,6.457,6.325,-26.79
319,92.66,0.0509,715,5.279,7.08,-26.87
320,92.51,-0.1696,702,6.65,6.901,-28.91
321,92.55,0.0386,726,7.297,7.508,-23.98
322,92.74,0.0717,733,6.34,7.587,-26.9
323,92.65,-0.0787,770,7.592,7.71,-28.39
324,92.52,-0.1385,777,7.83,7.938,-26.59
325,92.51,-0.1322,778,7.328,7.638,-25.91
326,92.47,-0.0097,808,6.764,7.355,-27.5
327,92.28,-0.1908,861,7.855,7.095,-26.84
328,92.31,0.0394,805,7.554,7.03,-24.1
329,92.57,0.2809,823,8.517,6.707,-23.29
330,92.5,-0.097,868,7.524,6.734,-26.46
331,92.43,-0.1197,844,7.833,6.296,-21.63
332,92.24,-0.2147,918,7.454,6.371,-27.92
333,92.25,-0.0084,858,7.133,6.441,-22.19
334,92.03,-0.1145,867,6.148,6.278,-17.25
335,91.83,-0.1107,887,6.107,6.891,-12.86
336,91.99,0.1357,921,6.211,6.688,-16.08
337,91.83,-0.1874,917,5.813,6.589,-15.71
338,91.96,0.1474,912,5.506,6.481,-8.49
339,92.16,0.2267,905,5.669,7.472,-10.13
340,92.17,-0.0226,922,5.072,7.896,-13.04
341,92.23,0.0078,856,5.205,7.351,-12.93
342,92.5,0.3608,891,4.745,5.93,-18.17
343,92.45,-0.0026,907,4.792,7.412,-8.55
344,92.33,-0.187,850,4.308,7.072,-12.61
345,92.11,-0.3099,868,3.843,6.087,-8.72
346,92.1,-0.0539,875,5.084,6.164,-13.36
347,92.3,0.2138,865,5.223,6.25,-11.27
348,92.43,0.1531,826,5.295,5.537,-5.86
349,92.28,-0.1737,853,4.795,5.566,-6.74
350,92.13,-0.221,814,5.994,6.006,0.03
351,92.05,-0.078,812,5.772,6.391,-6.24
352,92.08,0.0615,757,6.095,6.398,-3.74
353,92.04,-0.0409,749,5.967,6.809,-8.35
354,92.07,-0.0004,736,6.335,7.015,-10.61
355,92.1,0.0653,772,6.521,7.181,-11.6
356,92.06,-0.0532,680,7.241,7.196,-11.42
357,92.05,-0.0646,677,6.903,6.699,-10.29
358,92.08,0.0328,717,7.367,6.186,-6.34
359,92.06,-0.0767,694,7.194,6.313,-13.75
360,92.14,0.1224,624,6.859,5.873,-17.93
361,92.42,0.3049,665,7.492,5.14,-15.56
362,92.52,0.0433,659,7.445,5.871,-21.89
363,92.53,0.0229,682,7.282,5.03,-16.25
364,92.29,-0.1866,615,5.597,5.416,-26.02
365,92.35,-0.0392,638,7.349,4.921,-25.74
366,92.07,-0.2907,667,6.576,5.371,-18.36
367,91.87,-0.122,659,5.829,5.595,-18.38
368,92.01,0.0632,627,6.962,5.864,-22.89
369,92.13,0.1094,640,5.741,5.968,-21.16
370,92.12,-0.0791,620,5.819,6.157,-19.78
371,91.88,-0.246,680,5.264,6.346,-19.5
372,91.84,-0.1578,650,3.835,7.206,-24.19
373,91.76,-0.1651,690,5.394,6.678,-20.98
374,91.87,0.086,689,4.107,5.821,-26.04
375,92.23,0.3629,665,5.131,5.691,-23.33
376,92.28,0.0694,690,4.512,5.03,-21.39
377,92.18,-0.077,717,4.188,5.535,-18.54
378,92.03,-0.0997,725,3.498,4.971,-15.21
379,92.04,0.0461,759,4.626,4.446,-17.19
380,92.04,0.0306,764,4.56,4.055,-16.58
381,91.89,-0.1989,763,5.314,4.106,-14.05
382,91.93,0.0319,784,5.026,4.406,-13.85
383,91.78,0.0054,772,6.219,4.601,-13.27
384,91.97,0.3005,789,5.909,4.893,-7.26
385,92.16,0.2231,827,6.257,5.19,-8.73
386,92.34,0.2223,836,7.758,5.104,-5.7
387,92.3,0.0008,822,7.439,5.649,-11.54
388,92.4,0.0812,856,6.975,5.58,-8.64
389,92.41,0.0999,855,7.679,5.682,-6.18
390,92.37,-0.0529,872,6.856,4.864,-6.07
391,92.35,-0.0311,920,7.387,5.184,-2.92
392,92.18,-0.0647,887,7.718,4.921,-2.62
393,91.99,-0.295,902,7.428,4.356,0.25
394,92.13,0.1602,934,7.234,3.696,4.01
395,92.13,-0.0901,932,7.928,3.473,-2.08
396,92.18,0.0231,939,7.148,3.582,0.4
397,92.36,0.1681,912,6.84,3.723,1.64
398,92.12,-0.2554,943,6.706,3.901,4.2
399,92.03,-0.0877,938,6.419,3.986,-3.35
400,92.07,0.0095,929,6.863,3.731,0.22
401,92.15,0.0741,932,6.349,4.399,-1.22
402,92.12,-0.0951,935,5.207,4.693,0.79
403,92.29,0.1545,952,6.372,4.671,2.36
404,92.35,-0.0182,967,6.042,4.969,-4.42
405,92.18,-0.132,925,5.209,5.077,-4.0
406,92.06,-0.1863,943,4.749,4.176,-2.48
407,92.2,0.1712,907,5.188,4.378,-2.8
408,92.29,0.0646,865,4.893,3.631,-10.74
409,92.02,-0.2852,883,5.487,3.256,2.64
410,92.24,0.274,894,5.327,3.149,-8.02
411,92.34,0.1079,882,6.138,3.583,-8.95
412,92.56,0.1202,823,4.93,3.098,-8.15
413,92.51,-0.0218,869,5.683,2.881,-7.25
414,92.48,-0.1772,796,6.414,3.432,-9.56
415,92.32,-0.1465,780,6.344,3.333,-6.57
416,92.71,0.3691,768,6.704,3.714,-10.14
417,92.69,-0.0879,790,6.668,3.536,-10.75
418,92.94,0.2485,753,8.487,3.77,-12.09
419,92.85,-0.1067,748,7.751,3.769,-9.54
420,92.88,0.1283,672,8.442,4.517,-5.76
421,92.63,-0.2686,699,7.937,3.73,-9.62
422,92.58,0.0414,683,8.265,4.369,-6.28
423,92.73,0.2179,685,8.576,3.244,-9.01
424,92.55,-0.2168,650,9.482,3.319,-3.77
425,92.71,0.1207,671,9.354,3.053,-8.24
426,92.76,0.1153,624,9.652,2.353,-13.22
427,92.6,-0.1647,601,9.275,1.901,-7.61
428,92.53,-0.0695,588,9.108,2.26,-5.14
429,92.46,-0.0843,637,8.084,2.94,-3.62
430,92.45,-0.0709,622,7.627,3.039,-0.38
431,92.37,-0.1031,588,8.365,2.457,-1.91
432,92.24,-0.1765,622,7.117,3.149,-2.8
433,92.19,-0.127,596,7.475,3.357,3.31
434,92.03,-0.1746,597,6.67,4.012,2.15
435,91.83,-0.1116,572,6.237,3.937,8.68
436,91.82,0.0659,593,6.592,3.605,6.1
437,91.94,0.1219,609,5.978,4.481,8.1
438,91.71,-0.2305,617,6.167,3.854,7.09
439,91.7,0.0178,608,6.701,3.1,6.9
440,91.6,-0.0385,646,6.19,3.389,12.18
441,91.44,-0.1395,663,6.845,2.967,9.65
442,91.56,0.0954,629,6.262,2.822,7.35
443,91.48,-0.1062,663,6.831,1.919,12.71
444,91.7,0.272,636,6.395,2.256,11.02
445,91.57,0.0033,685,7.805,2.055,10.69
446,91.62,0.0178,670,6.464,2.379,13.9
447,91.58,-0.1449,698,7.925,2.625,7.52
448,91.46,-0.0816,716,8.395,3.118,12.86
449,91.54,0.0758,720,7.182,2.997,11.41
450,91.51,-0.0246,757,7.981,3.872,10.61
451,91.6,0.144,734,8.341,3.608,10.0
452,91.58,-0.0113,751,9.317,3.926,7.33
453,91.41,-0.236,777,9.46,3.717,6.54
454,91.39,-0.1196,780,9.606,3.671,8.42
455,91.4,-0.0007,794,10.202,3.558,7.27
456,91.54,0.0807,793,11.091,2.923,9.24
457,91.4,-0.1263,789,9.496,3.003,3.3
458,91.39,-0.0734,823,10.129,2.36,7.39
459,91.13,-0.2792,816,9.883,2.447,9.25
460,91.23,0.0219,836,10.253,2.247,-1.0
461,91.06,-0.182,846,8.5,2.148,6.66
462,90.79,-0.294,814,8.535,1.865,3.24
463,90.79,0.0209,806,8.565,2.572,1.21
464,90.95,0.2339,809,8.316,2.943,1.17
465,90.73,-0.2357,801,8.718,3.321,3.89
466,90.57,-0.203,770,8.132,4.133,-4.07
467,90.46,-0.0097,834,7.169,3.646,3.76
468,90.3,-0.1459,802,7.608,4.209,2.21
469,90.37,0.094,829,7.043,4.786,4.25
470,90.25,-0.083,763,7.37,3.567,-4.63
471,90.16,-0.0267,773,7.611,3.74,-5.4
472,90.26,0.1481,754,7.34,3.554,4.48
473,90.16,-0.068,733,8.399,3.065,-0.41
474,90.23,0.1159,738,9.038,2.874,5.87
475,90.1,-0.1744,703,8.367,2.884,4.93
476,89.94,-0.1968,685,7.601,3.385,2.93
477,89.68,-0.2639,673,9.332,2.533,2.82
478,89.98,0.3019,609,9.966,3.104,11.88
479,89.95,-0.0277,620,9.18,3.3,10.16
480,90.01,0.0727,602,9.798,4.222,7.54
481,90.03,0.0187,630,10.491,4.39,14.21
482,90.08,0.026,591,10.382,4.811,10.18
483,90.11,-0.0489,577,11.208,4.605,16.54
484,90.43,0.3539,557,11.141,4.652,12.62
485,90.3,-0.0993,524,10.805,4.524,17.28
486,90.09,-0.2489,544,11.053,4.267,20.63
487,89.97,-0.0972,493,11.304,3.922,16.36
488,89.81,-0.1495,455,11.171,3.999,21.19
489,89.95,0.1479,481,12.167,3.858,17.27
490,90.11,0.0647,479,11.646,3.504,23.61
491,90.0,-0.1699,447,11.303,2.81,19.1
492,89.83,-0.2029,442,11.657,3.418,21.74
493,89.81,0.064,445,11.121,4.192,18.72
494,90.06,0.2036,449,11.382,3.559,24.69
495,89.68,-0.4015,425,11.432,3.566,31.32
496,89.8,0.0633,442,10.481,4.628,19.95
497,89.68,-0.1453,412,9.866,4.287,20.01
498,89.88,0.2146,446,9.343,4.933,19.29
499,89.76,-0.2229,379,10.574,5.201,16.88
500,89.76,-0.1414,425,9.718,5.06,15.07
501,89.58,-0.1492,415,9.1,4.929,21.03
502,89.48,-0.1004,416,9.254,5.168,12.62
503,89.73,0.2227,394,8.712,4.525,21.03
504,89.9,0.217,445,9.94,4.726,13.2
505,89.89,0.0343,428,9.511,4.499,12.53
506,89.81,-0.1887,421,9.315,3.804,12.16
507,89.57,-0.2456,437,8.959,4.235,10.14
508,89.56,0.0434,454,10.948,3.626,11.98
509,89.61,0.0094,471,10.248,4.185,10.31
510,89.64,0.0193,462,9.408,4.117,6.54
511,89.68,0.0813,472,10.543,4.282,10.43
512,89.56,-0.1339,509,11.15,4.848,8.48
513,89.6,-0.0219,518,11.577,5.402,13.36
514,89.64,0.0076,576,11.298,5.879,12.89
515,89.88,0.175,548,12.7,6.07,4.86
516,90.21,0.3551,588,12.696,5.737,9.61
517,90.24,-0.0595,624,12.664,5.952,10.59
518,90.17,-0.0181,603,12.505,5.069,8.21
519,90.21,-0.0455,641,12.088,5.892,8.42
520,90.17,-0.0429,643,12.807,5.388,11.24
521,90.1,-0.1391,651,12.946,5.084,11.42
522,90.14,0.0204,694,12.428,4.835,8.52
523,90.03,-0.061,655,13.057,4.221,13.12
524,90.16,0.1907,672,13.16,4.871,13.82
525,90.19,0.0926,658,12.356,4.93,16.88
526,90.27,0.0753,697,12.174,5.081,15.23
527,90.29,0.0193,724,12.125,5.72,12.98
528,90.22,-0.0569,705,12.698,5.72,18.04
529,90.12,-0.0718,728,12.333,5.957,20.81
530,90.13,-0.0168,699,10.585,6.76,17.2
531,90.08,0.0104,736,10.938,6.566,21.95
532,90.16,0.088,711,12.243,6.484,24.06
533,90.19,0.0921,701,10.689,6.065,21.95
534,90.02,-0.146,737,11.611,6.455,20.63
535,90.07,0.0773,701,10.956,6.247,27.07
536,89.9,-0.2058,705,11.339,5.78,32.3
